stud_id,contact,tepsb_sex,cp09v02,cp09v05,cp09v06,cp09v07,cp09v08_u,cp09v08_ud,cp09v09,cp09v10,cp09v11_1,cp09v11_2,cp09v11_3,cp09v11_4,cp09v11_5,cp09v11_6,cp09v11_7,cp09v11_8,cp09v11_9,cp09v11_10,cp09v12,cp09v13,cp09v14,cp09v15,cp09v16,cp09v17,cp09v18,cp09v19,cp09v20,cp09v20_k,cp09v21,cp09v22,cp09v23,cp09v24,cp09v25,cp09v26,cp09v27
12016,6,2,2,1,6,2,1,4,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,170,61
04600,4,1,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,96,96,96,96,96,96,996,96,96,999,96,996,96,96,96,996,996
16592,5,1,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,96,96,96,96,96,96,996,96,96,999,96,996,96,96,96,996,996
03104,6,2,2,3,6,2,11,4,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,997,997
19082,6,1,1,1,6,2,6,4,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,180,59
13517,6,2,2,1,6,2,6,2,1,2,0,0,0,1,0,1,0,0,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,168,53
13180,6,2,2,1,1,1,99,99,99,99,9,9,9,9,9,9,9,9,9,9,1,99,99,3,1,6,98,34,2,999,5,40,6,1,99,158,60
03433,6,2,2,1,6,2,6,4,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,166,60
10535,6,1,1,1,6,2,6,2,1,2,0,1,0,0,0,0,0,0,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,170,55
15470,6,2,2,1,6,2,1,3,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,151,37
02249,6,2,2,1,6,2,6,2,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,174,55
13536,6,2,2,1,6,2,6,2,1,2,1,0,0,1,1,0,0,0,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,153,52
04247,6,1,1,1,5,2,8,5,1,1,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,178,56
15360,6,1,1,1,5,2,8,4,1,1,0,0,0,0,0,1,0,0,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,179,64
16866,6,1,1,1,6,2,6,2,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,168,48
11712,6,1,1,1,6,2,6,4,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,166,68
16757,6,1,1,1,5,2,4,3,2,1,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,175,73
14065,6,1,1,1,6,2,6,5,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,176,72
04963,6,1,1,1,6,2,1,2,1,2,1,0,0,0,0,0,1,0,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,168,70
14501,6,1,1,1,6,2,1,2,1,2,0,0,0,0,0,1,0,0,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,165,60
11733,6,1,1,1,6,2,6,5,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,173,58
09883,6,2,2,3,1,1,99,99,99,99,9,9,9,9,9,9,9,9,9,9,3,97,99,99,99,99,999,99,99,999,99,999,99,99,99,997,997
17477,6,2,2,1,6,2,1,7,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,162,57
17408,1,1,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,96,96,96,96,96,96,996,96,96,999,96,996,96,96,96,996,996
18871,5,2,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,96,96,96,96,96,96,996,96,96,999,96,996,96,96,96,996,996
03162,6,1,1,1,5,3,8,8,1,1,0,0,0,0,0,0,1,0,0,0,1,99,99,3,2,9,47,52,2,999,6,56,4,2,5,178,100
17503,6,2,1,2,6,2,6,97,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,156,997
08818,6,1,1,1,6,2,1,5,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,170,63
07624,4,1,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,96,96,96,96,96,96,996,96,96,999,96,996,96,96,96,996,996
16875,6,1,1,1,5,2,8,8,1,1,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,178,80
03529,6,2,2,1,6,2,1,7,1,2,0,0,0,0,0,0,1,0,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,156,48
11303,6,2,2,96,5,2,9,8,2,1,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,154,42
12847,6,2,2,1,5,2,8,3,1,1,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,161,47
14539,6,2,2,1,6,2,1,5,1,2,0,0,0,0,0,0,1,0,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,165,48
08691,6,1,1,1,6,2,6,5,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,177,75
06939,6,1,1,1,6,2,6,5,1,2,0,0,0,0,0,0,1,0,0,0,3,2,2,99,99,99,999,99,99,999,99,999,99,99,99,170,86
