  709203 6.562354564666748 5.470963478088379   2.63189721107482913513365214261442 6 6251 1001100 0 0 1 0 0 1 1 0 0 0 055555 164551312345324244 44111 6 4 12 3 3 3 2222 166011010252000100 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1411261 13421100000100100000000132332 4 4 44 432400010000000000001
  714313 7.0941004753112793.0567915439605713  2.034990310668945311422265224261241 6 6161 3100000 0 0 1 1 0 0 0 0 0 0 122556 625552312433223323 34131 4 4 32 2 2 3 2212 326111000262000100 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 2231262 13542100000100100000000122223 3 4 44 443400000000000000000
  729213 4.3304891586303711.8621578216552734   1.93637537956237811331226141422621 2 2322 3100000 0 1 0 0 0 0 1 0 0 0 011126 613322222222222222 22221 1 2 22 2 3 3 3222 322001000222000100 0 0 1 0 1 0 0 0 0 1 0 1 0 0 0 0 6212661 31222200000100100000000122222 2 2 31 111100010000000000001
  7313121.24516034126281743.4945273399353027  1.299569964408874512523165146434631 4 4143 3100000 0 0 1 0 0 0 0 0 0 0 122326 624553333433433333 34111 1 6 33 3 3 2 1324 661001000233000100 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 2332662 22331310000000100000000122223 4 3 33 333300000000000000000
  745203 4.4390401840209963.1494429111480713   4.32406425476074211413366226121211 5 5332 1100000 0 0 1 1 0 0 0 0 0 0 122222 265543333324334333 33111 4 6 33 4 2 3 1223 666001110243000100 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 2212661 21331210000011100000000122232 4 3 43 432400000000000000000
  748202 5.0730280876159672.7430267333984375   2.11405634880065911412265216434241 5 5242 1100000 0 0 1 0 1 0 1 0 0 0 012325 562153323333223124 44113 4 4 13 2 4 2 3241 126000010253000100 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 6421161 11641500000110000000000132232 3 3 34 342400000000000000000
  7572032.0529351234436035 .3146555423736572  3.211514234542846712312165216552242 5 5441 2100000 0 0 0 1 0 0 0 0 0 0 122213 144442234114333224 32111 2 4 33 3 3 3 2214 666001000243001000 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 6411261 11652600000111000000000131223 4 3 44 343400000000000000000
  765203 6.689167022705078 3.335171937942505   2.40722846984863311513365462141441 5 5253 3100000 1 0 0 0 1 0 0 0 0 0 144454 164551222223433121 43213 2 2 13 4 4 3 2234 466000100243001000 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 3111211 11331200000111100000000133444 3 3 34 341300010010000000000
  770213 4.2361755371093751.9333745241165161   3.03259086608886711421166221213121 5 4241 1100000 0 0 1 1 0 0 1 0 0 0 022613 634443311233223123 43111 6 4 13 4 1 3 3314 366001110133000100 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 1311221 13311110000000100000000132221 3 3 44 443400000000000000000
  771413 6.11657428741455111.316238403320312   1.82993590831756612422265142263532 2 2122 1100000 0 1 1 1 1 0 0 0 0 0 122614 366662232311111113 13113 2 4 34 3 1 3 3222 366000001222001000 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1312661 43211100000111100000000132333 3 3 33 233400000000000000000
  776302 2.521097183227539 .9393280148506165  3.014297008514404311312265224332242 6 5252 3100000 1 0 0 0 0 0 0 0 0 0 133434 364443333444444343 44113 2 6 32 2 3 3 3324 366001000152001000 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 2421361 23226100000100100000000122322 4 4 44 433400000000000000000
  789202 2.4816379547119142.2458245754241943   2.01284742355346711312265366211641 2 2221 2100000 0 0 1 0 0 0 1 0 0 0 034224 164443233444433234 43111 2 6 24 3 3 3 3254 661001010223001000 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 6412661 11661210000010100000000111111 3 3 43 433400000000000000000
  7924133.2783544063568115 2.492357015609741  -.604147315025329611522265225251112 5 5353 3010000 0 0 1 1 1 0 0 0 0 0 113344 633331211123324133 43112 4 4 32 3 3 2 3224 366001000263001100 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 6431261 32421210000000100000000122212 3 3 44 221200000000000000000
  803412 4.4858427047729491.1934404373168945   .996724843978881813641116233534621 4 4233 3100000 0 0 0 1 0 0 0 0 0 0 112226 616652231344433343 22331 4 2 13 3 3 2 1244 666010110222000100 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 6411111 11621610000000100000000121223 4 2 23 441400000000000000000
  804313  1.932354450225833.6546432971954346  -.467814415693283111622265223556641 3 3132 2100000 1 0 0 0 0 0 0 0 0 0 111626 624663332313233334 34111 1 4 33 3 3 2 2224 161010000234000001 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1311211 21431300000110000000000122333 4 3 43 442400000000000000000
  808203 4.9949326515197751.7518301010131836   3.25257968902587911312165316341341 5 5341 1100000 0 0 0 0 1 0 0 0 0 0 123233 544442244322433333 43133 4 4 13 2 3 3 1224 462001010253001000 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 6231211 12311200000111000000000132232 3 3 33 433400000000000000000
